x,y,z
-45.0732554402106,-36.0666256579659,3.19227308405601
-45.0733568635746,-35.4414312830722,3.18110154867011
-45.0734583194276,-34.8160366399163,3.1674349328977
-45.0735596779663,-34.1912418615551,3.15623570945428
-45.0736611013304,-33.5660474866614,3.15788334364648
-45.0737624436238,-32.9413528474312,3.14704229068357
-45.07140966454,-32.3150751010534,3.1160012792574
-45.070785716654,-31.6866389552398,3.08966678384498
-45.0694176706931,-31.0595605308415,3.0544161464151
-45.0658591959813,-30.4323568386475,2.99840257740976
-45.0630261753936,-29.8079447912738,2.95038371078269
-45.0726784422522,-26.0887868154731,3.0258220820408
-45.0749753065019,-25.4650178231143,3.05255379037688
-45.0728839495308,-24.8219978879978,3.01999372132666
-45.0720010615891,-24.1950040236874,3.01698468467439
-45.0728285376218,-23.5688510161625,3.02431323131045
-45.0736648637038,-22.9435983947188,3.03076354691376
-45.0737661573426,-22.3192036728861,3.02027431516436
-45.073867548294,-21.6942090962586,3.01685196173444
-45.0749535164702,-21.0693141038042,3.01408494280539
-45.073335378743,-20.4445786069468,3.0029021392769
-45.0744251490205,-19.8193831949838,3.0100586195139
-45.0728122865128,-19.194447555873,2.9977077712586
-45.0729136774642,-18.5694529792455,2.99439517127635
-45.0730150684156,-17.9444584026181,2.99204041797276
-45.0741010626884,-17.3194632710271,2.99627843016813
-45.0742024536398,-16.6944686943996,2.99478784491855
-45.0743036824549,-16.0704735590995,2.99242979349392
-45.0726857573159,-15.4444382135628,2.98677748910873
-45.0727871482673,-14.8194436369354,2.99596699683437
-45.0728885392187,-14.1944490603079,2.99135411295115
-45.0722550436957,-13.5694126010993,2.98072309108716
-45.0733410281172,-12.9444174695139,2.9882814587715
-45.0709934592346,-12.3183403674049,2.97046384391862
-45.0688995131593,-11.6912194743303,2.95229506002315
-45.0631417955969,-11.0628899791174,2.88232476436468
-45.0108215313769,-9.7850153887474,2.21058534829104
-45.0635218948567,-4.18990854626684,2.9312382525359
-45.0687522658871,-3.57120545567596,3.00414456257678
-45.07031849976,-2.94429563551149,3.0181696315274
-45.0718806658462,-2.31938470011178,3.04208287090407
-45.0719820567976,-1.69439012348432,3.04857834096848
-45.071353805723,-1.06935379032581,3.04485186243056
-45.0714551966744,-0.444359213698352,3.04897362497628
-45.0715567497621,0.18163480425648,3.04934468034111
-45.0709270076046,0.806671265580627,3.0400095062825
-45.071028398556,1.43166584220808,3.04050264783981
-45.0711297895074,2.05666041883554,3.04648495317736
-45.0704963038358,2.68169687804969,3.04088709242328
-45.0696132539119,3.30769225102441,3.04155027822174
-45.0706992481847,3.93268738261541,3.04700185874296
-45.0690865657764,4.5587226021433,3.04165898257727
-45.0701725501979,5.18371773372875,3.04737072958292
-45.0702739411493,5.8087123103562,3.05182052983779
-45.0686558521562,6.43374821460681,3.04253963002488
-45.0694926159909,7.06169923263526,3.05830458106246
-45.0594393099853,15.8243361740697,2.92751969244126
-45.0614889374999,16.4401639995872,2.97286754596882
-45.0655051457323,17.0629928421279,3.01256177682891
-45.0663361804274,17.687945662183,3.01858119310247
-45.066437733515,18.3139396801378,3.05051517948307
-45.0648250493889,18.939974899707,3.04116311424071
-45.0649266024766,19.5659689176618,3.04376898684621
-45.0660125868981,20.1909640492473,3.04332429949573
-44.442979034987,20.2010336947706,3.05049116608792
-44.4428776440356,19.5760391181432,3.04788945393236
-44.4417914974778,18.9500445452303,3.04794110971889
-44.4416899443901,18.3240505272755,3.04740715978726
-44.4418379378797,17.6970995054911,3.04107934583363
-44.4388025796034,17.0742712157985,2.99599348932862
-44.4318576491142,16.4536123541093,2.91547518757485
-44.3050103316237,14.7454011082474,1.28933917500433
-44.2990450778644,14.1267418101385,1.20340682757232
-44.2945489444533,13.5039971616735,1.14046262248621
-44.2922481385273,12.8791281067394,1.10985205691837
-44.2914113746927,12.2511770887109,1.09593723017289
-44.2920442210508,11.622139044226,1.0990750785855
-44.2924271965606,10.9920591309157,1.11666890995764
-44.2962348832795,10.3618968022558,1.15561350799973
-44.445872333851,6.44586300024959,3.0687387039817
-44.4465014268436,5.81682495364909,3.06963296996713
-44.4471347585124,5.1907890531544,3.07802453746105
-44.447033367561,4.56579447652694,3.07492937900551
-44.4476667009477,3.93975857599097,3.07739662963158
-44.4475653099963,3.31476399936351,3.07689663935488
-44.4474637565988,2.68876807142525,3.06925893242366
-44.4480920093911,2.06373173822546,3.07613444575233
-44.4479906184397,1.438737161598,3.07015837272918
-44.4478892274883,0.813742584970542,3.07504142363559
-44.4477876744006,0.18774856701571,3.07456997113048
-44.4484211682058,-0.437287892151595,3.07838779945326
-44.4483196151181,-1.06328191010643,3.07373175426746
-44.4482182241667,-1.68827648673389,3.07337732461841
-44.4491014266854,-2.31327050840336,3.06353696944114
-44.4458160272894,-2.93814011829548,3.03677325470895
-44.4442494294639,-3.55805181106609,3.01616794036779
-44.312889411332,-5.96800558204802,1.31754200005723
-44.3083926293757,-6.59474799582248,1.25366853067094
-44.3029074904225,-7.22149287665945,1.1868275401412
-44.3023297638037,-7.84740269838171,1.16603676474451
